Trials	Attacker Sampling	Attacker Sampling 2
0	7193	5104
1	6923	4879
2	7698	4767
3	6679	4429
4	6736	5918
5	7196	4833
6	7167	4584
7	6469	4503
8	6710	4945
9	7720	4927
10	7097	3755
11	6207	6068
12	6350	5164
13	6802	4893
14	7333	6090
15	6192	4695
16	6321	5805
17	6672	4908
18	6851	3946
19	6341	4914
20	6643	5718
21	6822	5456
22	6890	4235
23	6446	4232
24	6457	6457
25	7071	4449
26	7924	4715
27	6551	5293
28	6642	4917
29	6852	5354
30	6880	4867
31	6327	6165
32	6948	5513
33	7111	4342
34	6997	4706
35	6039	4367
36	6442	5732
37	6634	5575
38	8688	4729
39	6574	4728
40	6258	5568
41	8214	4333
42	7385	4574
43	7240	6530
44	6160	5352
45	6480	4881
46	6391	6397
47	6211	4722
48	6006	5065
49	6485	5780
50	6887	4451
51	6225	5494
52	6454	5618
53	6203	6569
54	6073	4437
55	5956	4748
56	6357	6105
57	5813	4285
58	6179	4653
59	6510	5438
60	6743	4395
61	6183	6014
62	5947	5017
63	6337	5301
64	5922	5628
65	6126	4768
66	6513	4845
67	6518	4639
68	6187	4931
69	6027	5295
70	6843	4909
71	5924	4138
72	6081	5242
73	7469	5239
74	7143	4533
75	7656	5875
76	6981	5919
77	5681	4994
78	6483	4826
79	5786	5251
80	5765	5352
81	6685	5472
82	6484	4266
83	6102	4102
84	6056	5872
85	6621	5479
86	6143	4471
87	6057	4072
88	6670	5600
89	6473	4779
90	6353	4043
91	6716	5110
92	6524	4928
93	5968	5380
94	6184	5050
95	6267	4588
96	6719	6520
97	5879	4499
98	6907	5330
99	6727	5257