Accuracy	MIXDENSE-HE	MIXSPARSE-HE	MIXDENSE-GS	MIXSPARSE-GS	BLKDENSE-HE	BLKSPARSE-HE	BLKDENSE-GS	BLKSPARSE-GS
0	0.15	0.12	0.22	0.21	0.01	0.01	0.011	0.018
1	0.85	0.76	0.51	0.44	0.27	0.23	0.027	0.024
2	0.79	0.77	0.55	0.4	0.25	0.23	0.035	0.028
3	0.77	0.72	0.57	0.44	0.28	0.29	0.036	0.032
4	0.85	0.72	0.56	0.47	0.32	0.32	0.032	0.03
5	0.83	0.59	0.54	0.52	0.34	0.32	0.032	0.035
6	0.84	0.6	0.56	0.54	0.35	0.33	0.043	0.033
7	0.84	0.63	0.57	0.56	0.35	0.34	0.041	0.03
8	0.85	0.63	0.55	0.58	0.36	0.33	0.031	0.022
9	0.84	0.64	0.55	0.58	0.36	0.33	0.046	0.03
10	0.85	0.64	0.55	0.58	0.35	0.33	0.032	0.022